index,Станок,Группа,Тип,Мощность,КПД,Точность,Автоматизация,Специализация,Масса,Классификация_по_массе,Длина,Ширина,Высота,Габаритный_диаметр,Город,Производитель,Тип_станка
492,5Д32,5.0,3.0,2.8,0.75,Н,Полуавтомат,Универсальный,3660.0,Средний,2395.0,1210.0,1975.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат для цилиндрических зубчатых колес
493,5Е32,5.0,3.0,4.5,0.75,Н,Полуавтомат,Универсальный,4000.0,Средний,2390.0,1340.0,2080.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат для цилиндрических зубчатых колес
494,5К310,5.0,3.0,4.0,0.75,Н,Полуавтомат,Универсальный,4350.0,Средний,2000.0,1300.0,2040.0,Ø 200,Вильнюс,None,Зубофрезерный вертикальный полуавтомат
495,5К32,5.0,3.0,7.5,0.75,Н,Полуавтомат,Универсальный,7200.0,Средний,2550.0,1510.0,2000.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат для цилиндрических зубчатых колес
496,5К324,5.0,3.0,7.5,0.75,Н,Полуавтомат,Универсальный,6400.0,Средний,2500.0,1440.0,2000.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат
497,5К324А,5.0,3.0,7.5,0.75,А,Полуавтомат,Универсальный,6400.0,Средний,2500.0,1400.0,2000.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат
498,5К328А,5.0,3.0,10.0,0.75,Н,Полуавтомат,Универсальный,14000.0,Тяжёлый,3580.0,1790.0,2590.0,Ø 1250,Егорьевск,None,Зубофрезерный вертикальный полуавтомат
499,5К32А,5.0,3.0,7.5,0.75,Н,Полуавтомат,Универсальный,7400.0,Средний,2650.0,1510.0,2000.0,Ø 800,Егорьевск,None,Зубофрезерный вертикальный полуавтомат
500,5К821В,5.0,8.0,3.0,0.75,В,Ручной,Универсальный,4590.0,Средний,2100.0,2505.0,1710.0,Ø 150,МЗКРС Москва,None,Резьбошлифовальный универсальный
501,5К822В,5.0,8.0,3.0,0.75,В,Ручной,Универсальный,5090.0,Средний,2330.0,2490.0,1710.0,Ø 150,МЗКРС Москва,None,Резьбошлифовальный универсальный
502,5М14,5.0,1.0,2.8,0.75,Н,Полуавтомат,Универсальный,3450.0,Средний,1800.0,1350.0,2200.0,Ø 500,Харьков,None,Зубодолбежный вертикальный полуавтомат
503,5М150,5.0,1.0,7.5,0.75,П,Полуавтомат,Универсальный,10800.0,Тяжёлый,4200.0,1800.0,3300.0,Ø 800,Егорьевск,None,Зубодолбежный вертикальный полуавтомат
504,5М161,5.0,1.0,5.0,0.75,Н,Полуавтомат,Универсальный,10650.0,Тяжёлый,3260.0,1850.0,3300.0,Ø 800,Клин,None,Зубодолбежный вертикальный полуавтомат
505,5М841,5.0,8.0,1.5,0.75,В,Полуавтомат,Универсальный,8000.0,Средний,2850.0,2300.0,2100.0,Ø 320,Москва,None,Зубошлифовальный универсальный полуавтомат
506,5С23П,5.0,2.0,1.2,0.75,П,Полуавтомат,Универсальный,3200.0,Средний,1845.0,1335.0,1560.0,Ø 125,Саратов,СЗЗС,Зубострогальный полуавтомат повышенной точности
507,5С280П,5.0,2.0,7.5,0.75,П,Полуавтомат,Универсальный,15189.0,Тяжёлый,3170.0,2180.0,2200.0,Ø 800,Саратов,СЗТЗС,Зуборезный для конических зубчатых колес с круговыми зубьями полуавтомат
508,5Т23В,5.0,2.0,1.1,0.75,В,Полуавтомат,Универсальный,3185.0,Средний,1620.0,1050.0,1415.0,Ø 125,Саратов,СЗЗС,Зубострогальный полуавтомат повышенной точности
509,6305Ф4,6.0,3.0,7.8,0.75,Н,Ручной,Универсальный,14000.0,Тяжёлый,5300.0,4050.0,3175.0,500 х 1250,Горький,None,Продольно-фрезерный горизонтальный с ЧПУ и АСИ
510,6441Б,6.0,4.0,2.6,0.75,Н,Ручной,Универсальный,7500.0,Средний,3520.0,2880.0,2575.0,Ленинград,None,None,Копировально-фрезерный горизонтальный
511,6520Ф3,6.0,5.0,4.0,0.75,н,Ручной,Универсальный,3700.0,Средний,1480.0,1890.0,2185.0,Львов,None,None,Фрезерный вертикальный с крестовым столом и ЧПУ
512,654,6.0,5.0,13.0,0.75,Н,Ручной,Универсальный,11600.0,Тяжёлый,3165.0,2890.0,3120.0,650 х 2200,None,None,Фрезерный вертикальный с крестовым столом
513,6540,6.0,5.0,7.5,0.75,Н,Ручной,Универсальный,8000.0,Средний,2507.0,2562.0,2785.0,630 х 1600,Ульяновск,None,Фрезерный вертикальный с крестовым столом
514,6550,6.0,5.0,10.0,0.75,Н,Ручной,Универсальный,12500.0,Тяжёлый,2795.0,3200.0,2960.0,650 х 2200,None,None,Фрезерный вертикальный с крестовым столом
515,6560,6.0,5.0,13.0,0.75,Н,Ручной,Универсальный,12000.0,Тяжёлый,4190.0,3220.0,3120.0,630 х 1600,Ульяновск,None,Фрезерный вертикальный с крестовым столом
516,65А60Ф1,6.0,5.0,26.5,0.75,Н,Ручной,Универсальный,16130.0,Тяжёлый,6485.0,3825.0,4100.0,630 х 2000,Ульяновск,Воронеж,Фрезерный вертикальный с крестовым столом и УЦИ
517,65А80Ф1,6.0,5.0,21.0,0.75,Н,Ручной,Универсальный,18500.0,Тяжёлый,4780.0,4050.0,4100.0,630 х 2000,Ульяновск,Воронеж,Фрезерный вертикальный с крестовым столом и УЦИ
518,65А90Ф1,6.0,5.0,21.0,0.75,Н,Ручной,Универсальный,23800.0,Тяжёлый,5900.0,4800.0,4320.0,1000 х 2500,Ульяновск,None,Фрезерный вертикальный с крестовым столом
519,6605,6.0,6.0,7.5,0.75,Н,Ручной,Универсальный,13600.0,Тяжёлый,5400.0,3520.0,2330.0,500 х 1600,Горький,None,Продольно-фрезерный двухстоечный двухшпиндельный
520,6606,6.0,6.0,10.0,0.75,Н,Ручной,Универсальный,22500.0,Тяжёлый,5850.0,4100.0,3600.0,500 х 1600,Горький,None,Продольно-фрезерный двухстоечный двухшпиндельный
521,6610,6.0,6.0,13.0,0.75,Н,Ручной,Универсальный,39150.0,Тяжёлый,10790.0,4360.0,4075.0,4000 х 6000,Минск,МЗОР,Продольно-фрезерный двухстоечный четырехшпиндельный
522,6620,6.0,6.0,30.0,0.75,Н,Ручной,Универсальный,121900.0,Уникальный,18970.0,7570.0,6700.0,2000 х 6300,Ульяновск,None,Продольно-фрезерный двухстоечный
523,6625,6.0,6.0,30.0,0.75,Н,Ручной,Универсальный,136100.0,Уникальный,22450.0,8830.0,6700.0,2000 х 6300,Ульяновск,None,Продольно-фрезерный двухстоечный
524,6720В,6.0,7.0,1.5,0.75,В,Ручной,Универсальный,1550.0,Средний,1530.0,1450.0,1800.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности
525,6720ВФ2,6.0,7.0,1.5,0.75,В,Ручной,Универсальный,1550.0,Средний,1530.0,1450.0,1800.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности с ЧПУ
526,6720ВФ2Ф2,6.0,7.0,2.2,0.75,В,Ручной,Универсальный,1470.0,Средний,3700.0,1975.0,1580.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности с ЧПУ
527,675,6.0,7.0,1.5,0.75,"Н, П",Ручной,Универсальный,1100.0,Средний,1110.0,1170.0,1650.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности
528,675П,6.0,7.0,1.5,0.75,П,Ручной,Универсальный,1100.0,Средний,1110.0,1170.0,1650.0,125 х 320,Ереван,None,Фрезерный широкоуниверсальный
529,676,6.0,7.0,3.0,0.75,Н,Ручной,Универсальный,1110.0,Средний,1400.0,1420.0,1875.0,250 х 800,Киров,None,Фрезерный универсальный
530,676 (1966),6.0,7.0,2.8,0.75,Н,Ручной,Универсальный,1300.0,Средний,1200.0,1225.0,1755.0,200 х 630,Иркутск,None,Фрезерный универсальный
531,676П,6.0,7.0,2.2,0.75,П,Ручной,Универсальный,910.0,Лёгкий,1282.0,1215.0,1780.0,250 х 800,Иркутск,None,Фрезерный инструментальный широкоуниверсальный
532,676П (1975),6.0,7.0,2.2,0.75,П,Ручной,Универсальный,910.0,Лёгкий,1285.0,1215.0,1780.0,200 х 630,Иркутск,None,Фрезерный универсальный
533,679,6.0,7.0,2.8,0.75,Н,Ручной,Универсальный,1190.0,Средний,1150.0,1400.0,1650.0,270 х 700,Иркутск,None,Фрезерный инструментальный широкоуниверсальный
534,67К25ПР,6.0,7.0,3.0,0.75,П,Ручной,Универсальный,1350.0,Средний,1685.0,1655.0,1865.0,320 х 800,Вильнюс (Комунарас),Иркутск,Фрезерный широкоуниверсальный
535,67К25ПФ2,6.0,7.0,3.0,0.75,П,Ручной,Универсальный,1350.0,Средний,1685.0,1655.0,1865.0,320 х 800,Вильнюс (Комунарас),None,Фрезерный широкоуниверсальный с ЧПУ
536,692Д,6.0,9.0,2.2,0.75,Н,Ручной,Универсальный,2250.0,Средний,1615.0,1600.0,2210.0,Дмитров,None,None,Шпоночно-фрезерный вертикальный
537,692М,6.0,9.0,1.1,0.75,Н,Ручной,Универсальный,1250.0,Средний,1520.0,1400.0,1750.0,Дмитров,None,None,Шпоночно-фрезерный вертикальный
538,692Р,6.0,9.0,2.2,0.75,Н,Ручной,Универсальный,1800.0,Средний,2080.0,1640.0,1860.0,Дмитров,None,None,Шпоночно-фрезерный вертикальный
539,6А12П,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,2500.0,Средний,1765.0,2375.0,1950.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный
540,6А54,6.0,5.0,37.0,0.75,Н,Ручной,Универсальный,11600.0,Тяжёлый,3165.0,2890.0,3120.0,650 х 2200,None,None,Фрезерный вертикальный с крестовым столом
541,6А540,6.0,5.0,7.5,0.75,Н,Ручной,Универсальный,8000.0,Средний,2507.0,2562.0,2785.0,650 х 2200,None,None,Фрезерный вертикальный с крестовым столом
542,6А56,6.0,5.0,22.0,0.75,Н,Ручной,Универсальный,19100.0,Тяжёлый,5300.0,3900.0,4000.0,800 х 2000,Ульяновск,None,Фрезерный вертикальный с крестовым столом
543,6А59,6.0,5.0,22.0,0.75,Н,Ручной,Универсальный,23600.0,Тяжёлый,6500.0,4550.0,4700.0,1000 х 2500,Ульяновск,None,Фрезерный вертикальный с крестовым столом
544,6А73П,6.0,7.0,0.6,0.75,П,Ручной,Универсальный,455.0,Лёгкий,690.0,820.0,1565.0,125 х 320,Ереван,None,Фрезерный широкоуниверсальный
545,6А75В,6.0,7.0,1.5,0.75,В,Ручной,Универсальный,1431.0,Средний,1280.0,1170.0,1750.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности
546,6Б75В,6.0,7.0,1.5,0.75,В,Ручной,Универсальный,1452.0,Средний,1520.0,1250.0,1695.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности
547,6Б75В.1,6.0,7.0,1.5,0.75,В,Ручной,Универсальный,1452.0,Средний,1520.0,1250.0,1695.0,200 х 630,Одесса,None,Фрезерный широкоуниверсальный высокой точности
548,6В11,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,2000.0,Средний,1740.0,1580.0,2265.0,250 х 1000,Фрунзе,None,Вертикальный консольно-фрезерный
549,6В75,6.0,7.0,1.7,0.75,Н,Ручной,Универсальный,855.0,Лёгкий,1150.0,1100.0,1600.0,125 х 320,Ереван,None,Фрезерный широкоуниверсальный
550,6Г463,6.0,4.0,0.25,0.75,Н,Ручной,Универсальный,260.0,Лёгкий,1120.0,1000.0,1260.0,Львов,None,None,Гравировальный копировально-фрезерный с пантографом
551,6Г605,6.0,6.0,15.0,0.75,Н,Ручной,Универсальный,13950.0,Тяжёлый,5500.0,3740.0,2300.0,500 х 1600,Горький,None,Продольно-фрезерный двухстоечный двухшпиндельный
552,6Г606,6.0,6.0,10.0,0.75,Н,Ручной,Универсальный,21900.0,Тяжёлый,6200.0,3800.0,3600.0,500 х 1600,Горький,None,Продольно-фрезерный двухстоечный двухшпиндельный
553,6Г608,6.0,6.0,13.0,0.75,Н,Ручной,Универсальный,28000.0,Тяжёлый,7435.0,4100.0,3800.0,630 х 2000,Горький,None,Продольно-фрезерный двухстоечный трехшпиндельный
554,6Г610,6.0,6.0,17.0,0.75,Н,Ручной,Универсальный,35000.0,Тяжёлый,8700.0,5000.0,4050.0,630 х 2000,Горький,None,Продольно-фрезерный двухстоечный трехшпиндельный
555,6Д81Ш,6.0,8.0,5.5,0.75,П,Ручной,Универсальный,2400.0,Средний,2030.0,1480.0,1695.0,250 х 1000,Дмитров,None,Консольно-фрезерный широкоуниверсальный
556,6Д82Ш,6.0,8.0,5.5,0.75,П,Ручной,Универсальный,3250.0,Средний,2275.0,2200.0,2115.0,250 х 1000,Дмитров,None,Консольно-фрезерный широкоуниверсальный
557,6Е463,6.0,4.0,0.25,0.75,Н,Ручной,Универсальный,250.0,Лёгкий,1040.0,1000.0,1260.0,Львов,None,None,Гравировальный копировально-фрезерный с пантографом
558,6Е75ПФ1,6.0,7.0,1.5,0.75,П,Ручной,Универсальный,810.0,Лёгкий,1350.0,1400.0,1750.0,200 х 630,Ереван,None,Фрезерный широкоуниверсальный
559,6Е80Ш,6.0,8.0,3.0,0.75,П,Ручной,Универсальный,1500.0,Средний,1755.0,1495.0,2105.0,200 х 800,Вильнюс (Жальгирис),None,Фрезерный консольный широкоуниверсальный
560,6К11,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,2350.0,Средний,2135.0,1725.0,2290.0,250 х 1000,Дмитров,None,Консольно-фрезерный вертикальный
561,6К12,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,2380.0,Средний,2135.0,1865.0,2290.0,250 х 1000,Дмитров,None,Консольно-фрезерный вертикальный
562,6К81Ш,6.0,8.0,5.5,0.75,П,Ручной,Универсальный,2500.0,Средний,2135.0,1725.0,2015.0,250 х 1000,Дмитров,None,Консольно-фрезерный широкоуниверсальный
563,6К82Ш,6.0,8.0,5.5,0.75,П,Ручной,Универсальный,2650.0,Средний,2135.0,1725.0,2015.0,250 х 1000,Дмитров,None,Консольно-фрезерный широкоуниверсальный
564,6Л463,6.0,4.0,0.27,0.75,Н,Ручной,Универсальный,300.0,Лёгкий,1100.0,1000.0,1260.0,Львов,None,None,Гравировальный копировально-фрезерный с пантографом
565,6М12,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3000.0,Средний,2395.0,1745.0,2000.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный
566,6М12П,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3000.0,Средний,2395.0,1745.0,2000.0,320 х 1250,Горький,None,Консольно-фрезерный вертикальный повышенной точности
567,6М13,6.0,1.0,10.0,0.75,"Н, П",Ручной,Универсальный,3120.0,Средний,2565.0,2135.0,2235.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный повышенной точности
568,6М13У,6.0,1.0,7.5,0.75,"Н, П",Ручной,Универсальный,6600.0,Средний,4000.0,2875.0,3045.0,400 х 1600,Кимры,None,Вертикальный консольно-фрезерный
569,6М76П,6.0,7.0,2.2,0.75,П,Ручной,Универсальный,1160.0,Средний,1350.0,1230.0,2060.0,250 х 800,Иркутск,None,Фрезерный инструментальный широкоуниверсальный
570,6М80,6.0,8.0,2.8,0.75,Н,Ручной,Универсальный,1400.0,Средний,1720.0,1785.0,1578.0,200 х 800,Вильнюс (Жальгирис),None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
571,6М82,6.0,8.0,7.0,0.75,Н,Ручной,Универсальный,2800.0,Средний,2260.0,1745.0,1660.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный универсальный
572,6М82Г,6.0,8.0,7.0,0.75,Н,Ручной,Универсальный,2700.0,Средний,2260.0,1745.0,1660.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный универсальный
573,6М82Ш,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,3150.0,Средний,2100.0,1760.0,1888.0,320 х 1250,Горький,None,Широкоуниверсальный консольно-фрезерный
574,6М83,6.0,8.0,10.0,0.75,Н,Ручной,Универсальный,3750.0,Средний,2565.0,2135.0,1770.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный универсальный
575,6М83Г,6.0,8.0,10.0,0.75,Н,Ручной,Универсальный,3650.0,Средний,2565.0,2165.0,1770.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный универсальный
576,6М83Ш,6.0,8.0,10.0,0.75,Н,Ручной,Универсальный,4400.0,Средний,2630.0,2140.0,2015.0,320 х 1250,Горький,None,Широкоуниверсальный консольно-фрезерный
577,6Н10,6.0,1.0,3.0,0.75,Н,Ручной,Универсальный,1160.0,Средний,1360.0,1860.0,1730.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный
578,6Н11,6.0,1.0,4.5,0.75,Н,Ручной,Универсальный,2100.0,Средний,2060.0,1530.0,2300.0,250 х 1000,Фрунзе,None,Вертикальный консольно-фрезерный
579,6Н12,6.0,1.0,7.0,0.75,Н,Ручной,Универсальный,3000.0,Средний,1745.0,2260.0,2000.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный
580,6Н13,6.0,1.0,10.0,0.75,"Н, П",Ручной,Универсальный,4250.0,Средний,2575.0,1870.0,2250.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный повышенной точности
581,6Н80,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1150.0,Средний,1360.0,1860.0,1530.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный
582,6Н80Г,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1130.0,Средний,1360.0,1860.0,1530.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный
583,6Н80Ш,6.0,8.0,3.0,0.75,П,Ручной,Универсальный,1360.0,Средний,2040.0,1860.0,1760.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный
584,6Н81,6.0,8.0,4.5,0.75,Н,Ручной,Универсальный,2100.0,Средний,2060.0,1940.0,1600.0,250 х 1000,Дмитров,None,Вертикальный консольно-фрезерный
585,6Н81А,6.0,8.0,2.8,0.75,Н,Ручной,Универсальный,2100.0,Средний,2100.0,2400.0,1715.0,250 х 1000,Дмитров,None,Консольно-фрезерный широкоуниверсальный
586,6Н81Г,6.0,8.0,4.5,0.75,Н,Ручной,Универсальный,2000.0,Средний,2060.0,1940.0,1600.0,250 х 1000,Дмитров,None,Вертикальный консольно-фрезерный
587,6Н82,6.0,8.0,7.0,0.75,Н,Ручной,Универсальный,2360.0,Средний,2135.0,1865.0,1695.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
588,6Н82Г,6.0,8.0,7.0,0.75,Н,Ручной,Универсальный,2700.0,Средний,2260.0,1745.0,1660.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный
589,6П80Г,6.0,8.0,2.8,0.75,Н,Ручной,Универсальный,1350.0,Средний,1720.0,1785.0,1575.0,200 х 800,Вильнюс (Жальгирис),None,Горизонтальный консольно-фрезерный
590,6Р10,6.0,1.0,3.0,0.75,Н,Ручной,Универсальный,1270.0,Средний,1435.0,1875.0,1750.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный общего назначения
591,6Р11,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,2360.0,Средний,1480.0,2360.0,2360.0,250 х 1000,Фрунзе,None,Вертикальный консольно-фрезерный
592,6Р12,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3120.0,Средний,2305.0,1950.0,2020.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный
593,6Р12Б,6.0,1.0,10.0,0.75,Н,Ручной,Универсальный,3180.0,Средний,2340.0,1950.0,2245.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный
594,6Р13,6.0,1.0,10.0,0.75,"Н, П",Ручной,Универсальный,4200.0,Средний,2560.0,2260.0,2120.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный повышенной точности
595,6Р13Б,6.0,1.0,13.0,0.75,Н,Ручной,Универсальный,4270.0,Средний,2600.0,2260.0,2120.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный
596,6Р13РФ3,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,6900.0,Средний,3200.0,2500.0,2450.0,400 х 1600,Горький,Воткинск,Фрезерный консольный вертикальный с ЧПУ
597,6Р13Ф3-37,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,4450.0,Средний,3450.0,3970.0,2965.0,400 х 1600,Горький,Воткинск,Фрезерный консольный вертикальный с ЧПУ
598,6Р80,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1260.0,Средний,1525.0,1875.0,1515.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный общего назначения
599,6Р80Г,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1240.0,Средний,1525.0,1875.0,1515.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный общего назначения
600,6Р80Ш,6.0,8.0,3.0,0.75,П,Ручной,Универсальный,1340.0,Средний,1820.0,1875.0,1765.0,200 х 800,Вильнюс (Жальгирис),None,Консольно-фрезерный вертикальный общего назначения
601,6Р81,6.0,8.0,5.5,0.75,Н,Ручной,Универсальный,2280.0,Средний,1480.0,1990.0,1630.0,250 х 1000,Дмитров,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
602,6Р81Г,6.0,8.0,5.5,0.75,Н,Ручной,Универсальный,2210.0,Средний,1480.0,1990.0,1630.0,250 х 1000,Дмитров,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
603,6Р81Ш,6.0,8.0,5.5,0.75,П,Ручной,Универсальный,2530.0,Средний,1480.0,2045.0,1890.0,250 х 1000,Дмитров,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
604,6Р82,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,2900.0,Средний,2305.0,1950.0,1670.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
605,6Р82Г,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,2830.0,Средний,2305.0,1950.0,1670.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
606,6Р82Ш,6.0,8.0,7.5,0.75,П,Ручной,Универсальный,3300.0,Средний,2470.0,1850.0,1950.0,320 х 1250,Горький,None,Консольно-фрезерный широкоуниверсальный
607,6Р83,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3800.0,Средний,2560.0,2260.0,1770.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
608,6Р83Г,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3700.0,Средний,2560.0,2260.0,1770.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
609,6Р83Ш,6.0,8.0,10.0,0.75,П,Ручной,Универсальный,4500.0,Средний,2680.0,2260.0,2040.0,320 х 1250,Горький,None,Консольно-фрезерный широкоуниверсальный
610,6С12,6.0,1.0,5.5,0.75,Н,Ручной,Универсальный,3000.0,Средний,2000.0,2230.0,2030.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный с поворотной головкой
611,6Т10,6.0,1.0,3.0,0.75,Н,Ручной,Универсальный,1340.0,Средний,1500.0,1875.0,1808.0,200 х 800,Вильнюс (Жальгирис),None,Фрезерный консольный вертикальный
612,6Т12,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3250.0,Средний,2280.0,1965.0,2265.0,320 х 1250,Луганск,None,Консольно-фрезерный вертикальный
613,6Т12-1,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3400.0,Средний,2280.0,1965.0,2265.0,320 х 1250,Горький,None,Консольно-фрезерный вертикальный общего назначения
614,6Т12Ф20,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,3750.0,Средний,2750.0,2575.0,2500.0,320 х 1250,Горький,None,Консольно-фрезерный вертикальный с опу
615,6Т13,6.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4300.0,Средний,2570.0,2252.0,2430.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный повышенной точности
616,6Т13-1,6.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4250.0,Средний,2570.0,2252.0,2430.0,320 х 1250,Горький,None,Консольно-фрезерный вертикальный общего назначения
617,6Т13Ф20,6.0,1.0,11.0,0.75,Н,Ручной,Универсальный,4300.0,Средний,2570.0,2252.0,2430.0,320 х 1250,Горький,None,Консольно-фрезерный вертикальный с опу
618,6Т13Ф3,6.0,1.0,7.5,0.75,Н,Ручной,Универсальный,5300.0,Средний,2520.0,3200.0,3002.0,400 х 1600,Горький,None,Консольно-фрезерный вертикальный с ЧПУ
619,6Т80,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1315.0,Средний,1600.0,1875.0,1528.0,200 х 800,Вильнюс (Жальгирис),None,Фрезерный консольный вертикальный
620,6Т80Г,6.0,8.0,3.0,0.75,Н,Ручной,Универсальный,1300.0,Средний,1600.0,1875.0,1528.0,200 х 800,Вильнюс (Жальгирис),None,Фрезерный консольный вертикальный
621,6Т80Ш,6.0,8.0,3.0,0.75,П,Ручной,Универсальный,1430.0,Средний,1600.0,1875.0,2080.0,200 х 800,Вильнюс (Жальгирис),None,Фрезерный консольный вертикальный
622,6Т82,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,3150.0,Средний,2280.0,1965.0,1690.0,320 х 1250,Горький,None,Горизонтальный консольно-фрезерный с поворотным столом универсальный
623,6Т82-1,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,3150.0,Средний,2280.0,1965.0,1690.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
624,6Т82Г,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,3150.0,Средний,2280.0,1965.0,1690.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
625,6Т82Г-1,6.0,8.0,7.5,0.75,Н,Ручной,Универсальный,3050.0,Средний,2280.0,1965.0,1690.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
626,6Т82Ш,6.0,8.0,7.5,0.75,П,Ручной,Универсальный,3550.0,Средний,2280.0,1965.0,1970.0,320 х 1250,Горький,None,Консольно-фрезерный широкоуниверсальный
627,6Т83,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3900.0,Средний,2579.0,2252.0,1770.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
628,6Т83-1,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3900.0,Средний,2579.0,2252.0,1770.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
629,6Т83Г,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3800.0,Средний,2579.0,2252.0,1770,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
630,6Т83Г-1,6.0,8.0,11.0,0.75,Н,Ручной,Универсальный,3750.0,Средний,2579.0,2252.0,1770.0,320 х 1250,Горький,None,Консольно-фрезерный горизонтальный с поворотным столом универсальный
631,6Т83Ш,6.0,8.0,11.0,0.75,П,Ручной,Универсальный,4370.0,Средний,2570.0,2252.0,2040.0,320 х 1250,Горький,None,Консольно-фрезерный широкоуниверсальный
632,6У312,6.0,3.0,22.0,0.75,Н,Ручной,Универсальный,52700.0,Тяжёлый,11070.0,4360.0,5500.0,1250 х 4000,Ульяновск,None,Продольно-фрезерный одностоечный
